Epoch [1/100], Loss: 3.5259, Train Acc: 16.09%
Test Accuracy: 24.41% | Avg Loss: 3.0058
New best model saved with accuracy: 24.41%
Epoch [2/100], Loss: 2.5341, Train Acc: 33.94%
Test Accuracy: 38.58% | Avg Loss: 2.3012
New best model saved with accuracy: 38.58%
Epoch [3/100], Loss: 2.0015, Train Acc: 45.39%
Test Accuracy: 43.98% | Avg Loss: 2.0546
New best model saved with accuracy: 43.98%
Epoch [4/100], Loss: 1.6816, Train Acc: 53.21%
Test Accuracy: 49.74% | Avg Loss: 1.8397
New best model saved with accuracy: 49.74%
Epoch [5/100], Loss: 1.4647, Train Acc: 58.59%
Test Accuracy: 56.08% | Avg Loss: 1.5797
New best model saved with accuracy: 56.08%
Epoch [6/100], Loss: 1.2851, Train Acc: 63.08%
Test Accuracy: 58.81% | Avg Loss: 1.4618
New best model saved with accuracy: 58.81%
Epoch [7/100], Loss: 1.1286, Train Acc: 67.48%
Test Accuracy: 60.08% | Avg Loss: 1.4254
New best model saved with accuracy: 60.08%
Epoch [8/100], Loss: 1.0028, Train Acc: 70.51%
Test Accuracy: 62.85% | Avg Loss: 1.3044
New best model saved with accuracy: 62.85%
Epoch [9/100], Loss: 0.8709, Train Acc: 74.35%
Test Accuracy: 62.71% | Avg Loss: 1.2992
Epoch [10/100], Loss: 0.7663, Train Acc: 77.31%
Test Accuracy: 63.45% | Avg Loss: 1.3219
New best model saved with accuracy: 63.45%
Epoch [11/100], Loss: 0.6662, Train Acc: 79.90%
Test Accuracy: 64.26% | Avg Loss: 1.2831
New best model saved with accuracy: 64.26%
Epoch [12/100], Loss: 0.5795, Train Acc: 82.57%
Test Accuracy: 64.89% | Avg Loss: 1.3013
New best model saved with accuracy: 64.89%
Epoch [13/100], Loss: 0.4963, Train Acc: 84.77%
Test Accuracy: 65.02% | Avg Loss: 1.3335
New best model saved with accuracy: 65.02%
Epoch [14/100], Loss: 0.4351, Train Acc: 86.78%
Test Accuracy: 64.02% | Avg Loss: 1.3782
Epoch [15/100], Loss: 0.3704, Train Acc: 88.78%
Test Accuracy: 65.04% | Avg Loss: 1.3846
New best model saved with accuracy: 65.04%
Epoch [16/100], Loss: 0.3216, Train Acc: 90.25%
Test Accuracy: 64.17% | Avg Loss: 1.4370
Epoch [17/100], Loss: 0.2964, Train Acc: 90.88%
Test Accuracy: 64.95% | Avg Loss: 1.4503
Epoch [18/100], Loss: 0.2550, Train Acc: 92.21%
Test Accuracy: 65.06% | Avg Loss: 1.4289
New best model saved with accuracy: 65.06%
Epoch [19/100], Loss: 0.2291, Train Acc: 92.98%
Test Accuracy: 65.19% | Avg Loss: 1.4618
New best model saved with accuracy: 65.19%
Epoch [20/100], Loss: 0.2053, Train Acc: 93.74%
Test Accuracy: 65.65% | Avg Loss: 1.4335
New best model saved with accuracy: 65.65%
Epoch [21/100], Loss: 0.1926, Train Acc: 94.20%
Test Accuracy: 64.81% | Avg Loss: 1.5276
Epoch [22/100], Loss: 0.1766, Train Acc: 94.66%
Test Accuracy: 64.55% | Avg Loss: 1.5888
Epoch [23/100], Loss: 0.1557, Train Acc: 95.34%
Test Accuracy: 64.98% | Avg Loss: 1.6020
