Epoch [1/100], Loss: 30.0621, Train Acc: 74.61%
Test Accuracy: 80.90% | Avg Loss: 0.6656
Validation Acc: 80.90% | Val Loss: 0.6656
Best model saved with acc 80.90% to checkpoints/VisionTransfomers/ViT_finetune_model_best.pt
Epoch [2/100], Loss: 16.2207, Train Acc: 85.01%
Test Accuracy: 79.87% | Avg Loss: 0.6979
Validation Acc: 79.87% | Val Loss: 0.6979
Epoch [3/100], Loss: 12.3942, Train Acc: 88.18%
Test Accuracy: 81.28% | Avg Loss: 0.6603
Validation Acc: 81.28% | Val Loss: 0.6603
Best model saved with acc 81.28% to checkpoints/VisionTransfomers/ViT_finetune_model_best.pt
Epoch [4/100], Loss: 9.9971, Train Acc: 90.41%
Test Accuracy: 79.31% | Avg Loss: 0.7669
Validation Acc: 79.31% | Val Loss: 0.7669
Epoch [5/100], Loss: 8.7270, Train Acc: 91.51%
Test Accuracy: 80.00% | Avg Loss: 0.7875
Validation Acc: 80.00% | Val Loss: 0.7875
Epoch [6/100], Loss: 7.0674, Train Acc: 93.07%
Test Accuracy: 80.04% | Avg Loss: 0.7760
Validation Acc: 80.04% | Val Loss: 0.7760
Epoch [7/100], Loss: 6.4909, Train Acc: 93.64%
Test Accuracy: 79.39% | Avg Loss: 0.8172
Validation Acc: 79.39% | Val Loss: 0.8172
Epoch [8/100], Loss: 5.9949, Train Acc: 94.15%
Test Accuracy: 78.83% | Avg Loss: 0.8574
Validation Acc: 78.83% | Val Loss: 0.8574
Epoch [9/100], Loss: 5.0111, Train Acc: 95.12%
Test Accuracy: 80.33% | Avg Loss: 0.7877
Validation Acc: 80.33% | Val Loss: 0.7877
Epoch [10/100], Loss: 4.6776, Train Acc: 95.41%
Test Accuracy: 79.49% | Avg Loss: 0.8601
Validation Acc: 79.49% | Val Loss: 0.8601
Epoch [11/100], Loss: 4.3638, Train Acc: 95.81%
Test Accuracy: 79.43% | Avg Loss: 0.8826
Validation Acc: 79.43% | Val Loss: 0.8826
Epoch [12/100], Loss: 3.5595, Train Acc: 96.59%
Test Accuracy: 79.42% | Avg Loss: 0.8911
Validation Acc: 79.42% | Val Loss: 0.8911
Epoch [13/100], Loss: 3.7592, Train Acc: 96.28%
Test Accuracy: 78.23% | Avg Loss: 0.9450
Validation Acc: 78.23% | Val Loss: 0.9450
Epoch [14/100], Loss: 3.1270, Train Acc: 97.02%
